class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.986,0.999,1.000,0.812,32,26.0,0.0
ALFL,0.884,0.964,0.966,0.609,46,28.0,1.0
AMBI,0.627,0.784,1.000,0.556,9,5.0,0.0
AMCR,0.854,0.994,0.909,0.400,25,10.0,1.0
AMRO,0.855,0.994,0.857,0.500,12,6.0,1.0
BADO,0.962,0.999,0.947,0.818,22,18.0,1.0
BBWA,0.948,1.000,1.000,0.500,6,3.0,0.0
BCCH,0.648,0.996,0.800,0.800,10,8.0,2.0
BEKI,0.877,0.914,1.000,0.375,8,3.0,0.0
BLJA,0.881,0.991,0.857,0.600,20,12.0,2.0
BRCR,0.684,0.995,0.667,0.429,14,6.0,3.0
BTNW,0.983,1.000,1.000,0.789,19,15.0,0.0
CANG,0.976,1.000,0.750,1.000,6,6.0,2.0
CEDW,0.935,0.997,1.000,0.565,23,13.0,0.0
CHSP,0.914,0.965,1.000,0.426,54,23.0,0.0
CMWA,1.000,1.000,0.857,1.000,6,6.0,1.0
CORA,1.000,1.000,1.000,0.833,6,5.0,0.0
COYE,0.937,0.997,0.941,0.727,22,16.0,1.0
DEJU,0.772,0.994,0.667,0.545,11,6.0,3.0
EAKI,0.968,1.000,0.857,0.857,7,6.0,1.0
EATO,1.000,1.000,1.000,0.727,11,8.0,0.0
EAWP,0.968,0.998,1.000,0.800,30,24.0,0.0
FISP,0.828,0.962,1.000,0.667,12,8.0,0.0
GCKI,0.770,0.965,1.000,0.417,12,5.0,0.0
GHOW,0.800,0.967,1.000,0.179,28,5.0,0.0
HETH,0.592,0.859,1.000,0.163,43,7.0,0.0
NHWR,0.963,1.000,0.875,0.778,9,7.0,1.0
NOCA,0.941,0.996,1.000,0.739,23,17.0,0.0
NOFL,0.977,1.000,1.000,0.800,10,8.0,0.0
OVEN,0.925,0.996,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.920,0.990,1.000,0.462,13,6.0,0.0
RWBL,0.953,0.996,0.963,0.703,37,26.0,1.0
SWSP,0.832,0.947,1.000,0.487,39,19.0,0.0
SWTH,0.944,0.999,0.833,1.000,10,10.0,2.0
TEWA,0.890,0.961,1.000,0.457,46,21.0,0.0
TRUS,0.913,0.999,1.000,0.250,8,2.0,0.0
VEER,1.000,1.000,1.000,0.750,4,3.0,0.0
WAVI,0.959,0.999,1.000,0.500,10,5.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.848,0.961,1.000,0.484,31,15.0,0.0
WIWA,0.977,1.000,0.900,1.000,9,9.0,1.0
WIWR,1.000,1.000,1.000,0.939,33,31.0,0.0
WOTH,0.812,0.996,1.000,0.500,4,2.0,0.0
WTSP,0.709,0.901,0.929,0.302,43,13.0,1.0
YEWA,0.906,0.995,1.000,0.688,16,11.0,0.0
