class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.974,0.999,0.962,0.781,32,25.0,1.0
ALFL,0.974,0.995,1.000,0.783,46,36.0,0.0
AMBI,0.573,0.897,1.000,0.222,9,2.0,0.0
AMCR,0.766,0.989,0.909,0.400,25,10.0,1.0
AMRO,0.819,0.996,0.857,0.500,12,6.0,1.0
BADO,0.928,0.996,0.850,0.773,22,17.0,3.0
BBWA,0.931,0.999,1.000,0.500,6,3.0,0.0
BCCH,0.821,0.997,0.750,0.600,10,6.0,2.0
BEKI,0.768,0.957,0.857,0.750,8,6.0,1.0
BLJA,0.895,0.997,1.000,0.550,20,11.0,0.0
BRCR,0.744,0.995,0.643,0.643,14,9.0,5.0
BTNW,0.993,1.000,1.000,0.842,19,16.0,0.0
CANG,0.944,0.999,0.625,0.833,6,5.0,3.0
CEDW,0.768,0.990,0.900,0.391,23,9.0,1.0
CHSP,0.919,0.967,1.000,0.537,54,29.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,1.000,6,6.0,0.0
COYE,0.964,0.999,0.944,0.773,22,17.0,1.0
DEJU,0.661,0.994,0.750,0.545,11,6.0,2.0
EAKI,0.982,1.000,1.000,0.857,7,6.0,0.0
EATO,1.000,1.000,1.000,0.727,11,8.0,0.0
EAWP,0.981,0.999,1.000,0.833,30,25.0,0.0
FISP,0.869,0.994,1.000,0.750,12,9.0,0.0
GCKI,0.903,0.997,1.000,0.417,12,5.0,0.0
GHOW,0.777,0.962,1.000,0.536,28,15.0,0.0
HETH,0.635,0.838,1.000,0.140,43,6.0,0.0
NHWR,0.944,0.999,0.857,0.667,9,6.0,1.0
NOCA,0.947,0.998,1.000,0.739,23,17.0,0.0
NOFL,0.891,0.999,0.818,0.900,10,9.0,2.0
OVEN,0.906,0.981,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,0.909,11,10.0,0.0
RBNU,0.943,0.999,1.000,0.462,13,6.0,0.0
RWBL,0.879,0.987,0.920,0.622,37,23.0,2.0
SWSP,0.800,0.928,1.000,0.308,39,12.0,0.0
SWTH,0.843,0.998,0.750,0.900,10,9.0,3.0
TEWA,0.812,0.920,1.000,0.500,46,23.0,0.0
TRUS,0.931,0.998,1.000,0.625,8,5.0,0.0
VEER,1.000,1.000,1.000,0.500,4,2.0,0.0
WAVI,0.898,0.993,1.000,0.800,10,8.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.872,0.966,1.000,0.516,31,16.0,0.0
WIWA,0.948,0.999,1.000,0.778,9,7.0,0.0
WIWR,1.000,1.000,0.971,1.000,33,33.0,1.0
WOTH,1.000,1.000,1.000,1.000,4,4.0,0.0
WTSP,0.793,0.949,0.923,0.279,43,12.0,1.0
YEWA,0.933,0.980,1.000,0.438,16,7.0,0.0
