class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.967,0.993,0.963,0.812,32,26.0,1.0
ALFL,0.870,0.968,1.000,0.587,46,27.0,0.0
AMBI,0.637,0.920,1.000,0.444,9,4.0,0.0
AMCR,0.784,0.976,1.000,0.400,25,10.0,0.0
AMRO,0.753,0.987,0.875,0.583,12,7.0,1.0
BADO,0.971,0.999,0.947,0.818,22,18.0,1.0
BBWA,0.976,1.000,1.000,0.667,6,4.0,0.0
BCCH,0.756,0.997,0.714,0.500,10,5.0,2.0
BEKI,0.889,0.991,1.000,0.625,8,5.0,0.0
BLJA,0.825,0.989,0.889,0.400,20,8.0,1.0
BRCR,0.738,0.994,0.667,0.143,14,2.0,1.0
BTNW,0.970,0.999,1.000,0.789,19,15.0,0.0
CANG,0.856,0.999,0.714,0.833,6,5.0,2.0
CEDW,0.898,0.997,0.900,0.391,23,9.0,1.0
CHSP,0.951,0.996,0.969,0.574,54,31.0,1.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,0.667,6,4.0,0.0
COYE,0.946,0.997,0.950,0.864,22,19.0,1.0
DEJU,0.694,0.989,0.833,0.455,11,5.0,1.0
EAKI,1.000,1.000,1.000,0.857,7,6.0,0.0
EATO,0.959,0.999,1.000,0.727,11,8.0,0.0
EAWP,0.937,0.993,1.000,0.800,30,24.0,0.0
FISP,0.805,0.958,1.000,0.583,12,7.0,0.0
GCKI,0.719,0.971,1.000,0.417,12,5.0,0.0
GHOW,0.794,0.940,1.000,0.321,28,9.0,0.0
HETH,0.584,0.897,1.000,0.116,43,5.0,0.0
NHWR,0.980,1.000,1.000,0.889,9,8.0,0.0
NOCA,0.966,0.998,1.000,0.783,23,18.0,0.0
NOFL,0.963,0.999,1.000,0.900,10,9.0,0.0
OVEN,0.920,0.995,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.892,0.978,1.000,0.615,13,8.0,0.0
RWBL,0.941,0.995,0.917,0.595,37,22.0,2.0
SWSP,0.842,0.968,0.929,0.333,39,13.0,1.0
SWTH,0.981,1.000,0.769,1.000,10,10.0,3.0
TEWA,0.876,0.955,1.000,0.370,46,17.0,0.0
TRUS,1.000,1.000,1.000,0.375,8,3.0,0.0
VEER,0.893,0.999,1.000,0.250,4,1.0,0.0
WAVI,0.836,0.997,1.000,0.400,10,4.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.830,0.964,1.000,0.484,31,15.0,0.0
WIWA,0.901,0.999,0.818,1.000,9,9.0,2.0
WIWR,1.000,1.000,1.000,0.939,33,31.0,0.0
WOTH,0.887,0.999,0.750,0.750,4,3.0,1.0
WTSP,0.744,0.942,0.938,0.349,43,15.0,1.0
YEWA,0.888,0.989,1.000,0.500,16,8.0,0.0
