class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.978,0.998,1.000,0.875,32,28.0,0.0
ALFL,0.872,0.971,0.933,0.609,46,28.0,2.0
AMBI,0.643,0.917,1.000,0.333,9,3.0,0.0
AMCR,0.844,0.991,1.000,0.360,25,9.0,0.0
AMRO,0.847,0.989,1.000,0.667,12,8.0,0.0
BADO,0.919,0.996,0.944,0.773,22,17.0,1.0
BBWA,1.000,1.000,1.000,0.667,6,4.0,0.0
BCCH,0.770,0.998,0.800,0.400,10,4.0,1.0
BEKI,0.915,0.997,1.000,0.625,8,5.0,0.0
BLJA,0.813,0.962,0.917,0.550,20,11.0,1.0
BRCR,0.560,0.990,0.667,0.143,14,2.0,1.0
BTNW,0.990,1.000,1.000,0.789,19,15.0,0.0
CANG,0.917,0.999,0.625,0.833,6,5.0,3.0
CEDW,0.858,0.995,0.923,0.522,23,12.0,1.0
CHSP,0.940,0.994,1.000,0.481,54,26.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,0.833,6,5.0,0.0
COYE,0.979,0.999,1.000,0.773,22,17.0,0.0
DEJU,0.627,0.994,0.600,0.545,11,6.0,4.0
EAKI,0.982,1.000,1.000,0.857,7,6.0,0.0
EATO,1.000,1.000,1.000,0.455,11,5.0,0.0
EAWP,0.939,0.983,0.963,0.867,30,26.0,1.0
FISP,0.819,0.993,1.000,0.667,12,8.0,0.0
GCKI,0.722,0.959,1.000,0.333,12,4.0,0.0
GHOW,0.772,0.921,1.000,0.357,28,10.0,0.0
HETH,0.625,0.905,1.000,0.140,43,6.0,0.0
NHWR,0.972,1.000,1.000,0.778,9,7.0,0.0
NOCA,0.942,0.996,1.000,0.609,23,14.0,0.0
NOFL,0.959,0.999,1.000,0.800,10,8.0,0.0
OVEN,0.907,0.984,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.880,0.991,1.000,0.615,13,8.0,0.0
RWBL,0.922,0.994,0.958,0.622,37,23.0,1.0
SWSP,0.855,0.961,1.000,0.462,39,18.0,0.0
SWTH,0.954,0.999,0.833,1.000,10,10.0,2.0
TEWA,0.902,0.966,1.000,0.435,46,20.0,0.0
TRUS,1.000,1.000,1.000,0.625,8,5.0,0.0
VEER,0.950,1.000,1.000,0.500,4,2.0,0.0
WAVI,0.941,0.999,0.875,0.700,10,7.0,1.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.842,0.950,1.000,0.548,31,17.0,0.0
WIWA,0.938,0.999,0.800,0.889,9,8.0,2.0
WIWR,1.000,1.000,1.000,0.636,33,21.0,0.0
WOTH,0.917,0.999,1.000,0.750,4,3.0,0.0
WTSP,0.738,0.927,0.933,0.326,43,14.0,1.0
YEWA,0.915,0.985,1.000,0.438,16,7.0,0.0
