class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.998,1.000,1.000,0.938,32,30.0,0.0
ALFL,0.989,0.999,1.000,0.783,46,36.0,0.0
AMBI,0.855,0.998,1.000,0.444,9,4.0,0.0
AMCR,0.836,0.989,1.000,0.480,25,12.0,0.0
AMRO,0.947,0.998,1.000,0.583,12,7.0,0.0
BADO,0.994,1.000,1.000,0.864,22,19.0,0.0
BBWA,0.889,0.998,1.000,0.667,6,4.0,0.0
BCCH,0.892,0.996,0.800,0.800,10,8.0,2.0
BEKI,0.878,0.992,1.000,0.750,8,6.0,0.0
BLJA,0.972,0.998,1.000,0.750,20,15.0,0.0
BRCR,1.000,1.000,1.000,0.929,14,13.0,0.0
BTNW,0.974,0.999,1.000,0.789,19,15.0,0.0
CANG,0.842,0.999,0.625,0.833,6,5.0,3.0
CEDW,0.924,0.997,0.929,0.565,23,13.0,1.0
CHSP,0.973,0.996,1.000,0.556,54,30.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,0.976,1.000,1.000,0.833,6,5.0,0.0
COYE,0.974,0.999,1.000,0.818,22,18.0,0.0
DEJU,0.847,0.993,0.800,0.727,11,8.0,2.0
EAKI,0.982,1.000,0.857,0.857,7,6.0,1.0
EATO,0.945,0.998,1.000,0.909,11,10.0,0.0
EAWP,0.999,1.000,1.000,0.900,30,27.0,0.0
FISP,0.979,1.000,1.000,0.750,12,9.0,0.0
GCKI,0.944,0.997,1.000,0.583,12,7.0,0.0
GHOW,0.844,0.967,1.000,0.179,28,5.0,0.0
HETH,0.573,0.899,1.000,0.186,43,8.0,0.0
NHWR,1.000,1.000,1.000,1.000,9,9.0,0.0
NOCA,0.971,0.999,1.000,0.826,23,19.0,0.0
NOFL,0.941,0.999,0.800,0.800,10,8.0,2.0
OVEN,1.000,1.000,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.980,1.000,1.000,0.692,13,9.0,0.0
RWBL,0.951,0.996,1.000,0.757,37,28.0,0.0
SWSP,0.891,0.987,1.000,0.513,39,20.0,0.0
SWTH,0.943,0.999,0.833,1.000,10,10.0,2.0
TEWA,0.852,0.962,1.000,0.522,46,24.0,0.0
TRUS,1.000,1.000,1.000,0.625,8,5.0,0.0
VEER,0.950,1.000,1.000,0.500,4,2.0,0.0
WAVI,0.930,0.997,1.000,0.800,10,8.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.928,0.988,1.000,0.645,31,20.0,0.0
WIWA,0.967,1.000,0.750,1.000,9,9.0,3.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,1.000,1.000,1.000,1.000,4,4.0,0.0
WTSP,0.849,0.977,1.000,0.395,43,17.0,0.0
YEWA,0.906,0.998,1.000,0.438,16,7.0,0.0
