class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.968,0.994,0.966,0.875,32,28.0,1.0
ALFL,0.995,1.000,1.000,0.783,46,36.0,0.0
AMBI,0.730,0.989,1.000,0.444,9,4.0,0.0
AMCR,0.846,0.993,1.000,0.520,25,13.0,0.0
AMRO,0.903,0.997,1.000,0.417,12,5.0,0.0
BADO,0.958,0.999,0.857,0.818,22,18.0,3.0
BBWA,0.897,0.999,0.800,0.667,6,4.0,1.0
BCCH,0.963,0.999,0.818,0.900,10,9.0,2.0
BEKI,0.886,0.986,1.000,0.750,8,6.0,0.0
BLJA,0.929,0.995,0.889,0.800,20,16.0,2.0
BRCR,0.841,0.997,0.833,0.714,14,10.0,2.0
BTNW,0.944,0.997,1.000,0.842,19,16.0,0.0
CANG,0.735,0.999,0.545,1.000,6,6.0,5.0
CEDW,0.810,0.990,0.800,0.522,23,12.0,3.0
CHSP,0.959,0.992,1.000,0.574,54,31.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,1.000,6,6.0,0.0
COYE,0.984,1.000,0.947,0.818,22,18.0,1.0
DEJU,0.797,0.992,0.692,0.818,11,9.0,4.0
EAKI,0.982,1.000,1.000,0.857,7,6.0,0.0
EATO,0.978,1.000,1.000,0.636,11,7.0,0.0
EAWP,0.985,0.999,0.963,0.867,30,26.0,1.0
FISP,0.923,0.998,1.000,0.750,12,9.0,0.0
GCKI,0.888,0.997,1.000,0.500,12,6.0,0.0
GHOW,0.781,0.941,1.000,0.429,28,12.0,0.0
HETH,0.627,0.828,1.000,0.209,43,9.0,0.0
NHWR,1.000,1.000,1.000,1.000,9,9.0,0.0
NOCA,0.938,0.998,0.938,0.652,23,15.0,1.0
NOFL,0.983,1.000,0.818,0.900,10,9.0,2.0
OVEN,0.971,0.999,0.900,0.900,10,9.0,1.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.945,0.999,1.000,0.538,13,7.0,0.0
RWBL,0.913,0.994,0.867,0.703,37,26.0,4.0
SWSP,0.883,0.978,1.000,0.487,39,19.0,0.0
SWTH,0.803,0.998,0.769,1.000,10,10.0,3.0
TEWA,0.888,0.975,1.000,0.500,46,23.0,0.0
TRUS,0.932,0.999,0.833,0.625,8,5.0,1.0
VEER,1.000,1.000,1.000,0.750,4,3.0,0.0
WAVI,0.874,0.997,1.000,0.700,10,7.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.948,0.983,1.000,0.645,31,20.0,0.0
WIWA,0.967,1.000,0.692,1.000,9,9.0,4.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,1.000,1.000,1.000,1.000,4,4.0,0.0
WTSP,0.840,0.978,0.944,0.395,43,17.0,1.0
YEWA,0.889,0.989,1.000,0.438,16,7.0,0.0
