class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.969,0.997,0.964,0.844,32,27.0,1.0
ALFL,0.977,0.998,0.973,0.783,46,36.0,1.0
AMBI,0.718,0.971,1.000,0.556,9,5.0,0.0
AMCR,0.852,0.988,1.000,0.560,25,14.0,0.0
AMRO,0.869,0.997,0.800,0.667,12,8.0,2.0
BADO,0.992,1.000,0.952,0.909,22,20.0,1.0
BBWA,0.873,0.999,0.800,0.667,6,4.0,1.0
BCCH,0.917,0.999,0.800,0.800,10,8.0,2.0
BEKI,0.923,0.998,1.000,0.875,8,7.0,0.0
BLJA,0.939,0.997,0.917,0.550,20,11.0,1.0
BRCR,0.517,0.991,0.500,0.143,14,2.0,2.0
BTNW,0.982,1.000,0.941,0.842,19,16.0,1.0
CANG,0.703,0.998,0.833,0.833,6,5.0,1.0
CEDW,0.801,0.991,0.846,0.478,23,11.0,2.0
CHSP,0.880,0.983,1.000,0.519,54,28.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,1.000,6,6.0,0.0
COYE,0.960,0.999,0.952,0.909,22,20.0,1.0
DEJU,0.528,0.983,0.462,0.545,11,6.0,7.0
EAKI,1.000,1.000,1.000,0.857,7,6.0,0.0
EATO,0.963,0.999,1.000,0.636,11,7.0,0.0
EAWP,0.994,1.000,0.963,0.867,30,26.0,1.0
FISP,1.000,1.000,1.000,0.667,12,8.0,0.0
GCKI,0.933,0.997,1.000,0.333,12,4.0,0.0
GHOW,0.806,0.986,1.000,0.321,28,9.0,0.0
HETH,0.658,0.908,1.000,0.256,43,11.0,0.0
NHWR,1.000,1.000,1.000,1.000,9,9.0,0.0
NOCA,0.995,1.000,1.000,0.913,23,21.0,0.0
NOFL,0.965,0.999,0.818,0.900,10,9.0,2.0
OVEN,1.000,1.000,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,1.000,1.000,1.000,0.769,13,10.0,0.0
RWBL,0.952,0.994,1.000,0.703,37,26.0,0.0
SWSP,0.878,0.991,1.000,0.359,39,14.0,0.0
SWTH,0.885,0.999,0.769,1.000,10,10.0,3.0
TEWA,0.937,0.989,1.000,0.587,46,27.0,0.0
TRUS,1.000,1.000,1.000,0.750,8,6.0,0.0
VEER,1.000,1.000,1.000,0.750,4,3.0,0.0
WAVI,0.923,0.997,1.000,0.600,10,6.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.959,0.981,1.000,0.677,31,21.0,0.0
WIWA,0.980,1.000,0.750,1.000,9,9.0,3.0
WIWR,1.000,1.000,1.000,0.939,33,31.0,0.0
WOTH,1.000,1.000,1.000,1.000,4,4.0,0.0
WTSP,0.833,0.984,1.000,0.372,43,16.0,0.0
YEWA,0.861,0.996,1.000,0.562,16,9.0,0.0
