class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.966,0.999,0.968,0.938,32,30.0,1.0
ALFL,0.963,0.997,0.923,0.783,46,36.0,3.0
AMBI,0.598,0.936,1.000,0.333,9,3.0,0.0
AMCR,0.827,0.992,0.900,0.360,25,9.0,1.0
AMRO,0.868,0.997,1.000,0.583,12,7.0,0.0
BADO,0.983,1.000,0.944,0.773,22,17.0,1.0
BBWA,0.906,0.999,1.000,0.667,6,4.0,0.0
BCCH,0.942,0.999,0.769,1.000,10,10.0,3.0
BEKI,0.878,0.944,1.000,0.875,8,7.0,0.0
BLJA,0.909,0.996,0.933,0.700,20,14.0,1.0
BRCR,0.717,0.993,0.875,0.500,14,7.0,1.0
BTNW,0.995,1.000,1.000,0.842,19,16.0,0.0
CANG,0.735,0.999,0.857,1.000,6,6.0,1.0
CEDW,0.771,0.991,0.684,0.565,23,13.0,6.0
CHSP,0.898,0.988,0.917,0.611,54,33.0,3.0
CMWA,1.000,1.000,0.857,1.000,6,6.0,1.0
CORA,1.000,1.000,1.000,1.000,6,6.0,0.0
COYE,0.988,1.000,0.909,0.909,22,20.0,2.0
DEJU,0.514,0.982,0.429,0.545,11,6.0,8.0
EAKI,0.962,1.000,0.857,0.857,7,6.0,1.0
EATO,0.981,1.000,1.000,0.636,11,7.0,0.0
EAWP,0.996,1.000,1.000,0.900,30,27.0,0.0
FISP,0.876,0.995,0.889,0.667,12,8.0,1.0
GCKI,0.879,0.994,1.000,0.417,12,5.0,0.0
GHOW,0.813,0.974,1.000,0.214,28,6.0,0.0
HETH,0.589,0.879,0.909,0.233,43,10.0,1.0
NHWR,1.000,1.000,1.000,1.000,9,9.0,0.0
NOCA,0.959,0.992,1.000,0.826,23,19.0,0.0
NOFL,0.943,0.999,0.769,1.000,10,10.0,3.0
OVEN,0.936,0.998,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.929,0.998,1.000,0.615,13,8.0,0.0
RWBL,0.964,0.998,0.968,0.811,37,30.0,1.0
SWSP,0.901,0.991,1.000,0.410,39,16.0,0.0
SWTH,0.857,0.999,0.833,1.000,10,10.0,2.0
TEWA,0.866,0.974,1.000,0.478,46,22.0,0.0
TRUS,1.000,1.000,1.000,0.625,8,5.0,0.0
VEER,1.000,1.000,1.000,0.750,4,3.0,0.0
WAVI,0.892,0.996,1.000,0.700,10,7.0,0.0
WETA,1.000,1.000,0.917,1.000,11,11.0,1.0
WISN,0.934,0.968,1.000,0.677,31,21.0,0.0
WIWA,0.888,0.998,0.583,0.778,9,7.0,5.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,1.000,1.000,1.000,1.000,4,4.0,0.0
WTSP,0.805,0.936,1.000,0.302,43,13.0,0.0
YEWA,1.000,1.000,1.000,0.500,16,8.0,0.0
