class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.996,1.000,0.968,0.938,32,30.0,1.0
ALFL,0.981,0.999,1.000,0.717,46,33.0,0.0
AMBI,0.868,0.998,1.000,0.556,9,5.0,0.0
AMCR,0.777,0.989,1.000,0.320,25,8.0,0.0
AMRO,0.975,0.999,1.000,0.583,12,7.0,0.0
BADO,0.976,0.999,0.952,0.909,22,20.0,1.0
BBWA,0.897,0.999,1.000,0.333,6,2.0,0.0
BCCH,0.941,0.999,0.800,0.800,10,8.0,2.0
BEKI,0.918,0.998,1.000,0.750,8,6.0,0.0
BLJA,0.980,0.999,1.000,0.850,20,17.0,0.0
BRCR,0.966,0.999,0.867,0.929,14,13.0,2.0
BTNW,0.958,0.999,1.000,0.789,19,15.0,0.0
CANG,0.814,0.999,0.750,1.000,6,6.0,2.0
CEDW,0.877,0.996,0.923,0.522,23,12.0,1.0
CHSP,0.972,0.995,1.000,0.722,54,39.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,0.958,1.000,1.000,0.833,6,5.0,0.0
COYE,0.962,0.998,1.000,0.818,22,18.0,0.0
DEJU,0.798,0.981,1.000,0.727,11,8.0,0.0
EAKI,0.982,1.000,1.000,0.857,7,6.0,0.0
EATO,0.992,1.000,1.000,0.818,11,9.0,0.0
EAWP,0.994,1.000,0.962,0.833,30,25.0,1.0
FISP,0.988,1.000,1.000,0.750,12,9.0,0.0
GCKI,0.887,0.948,1.000,0.333,12,4.0,0.0
GHOW,0.822,0.963,1.000,0.321,28,9.0,0.0
HETH,0.555,0.862,1.000,0.233,43,10.0,0.0
NHWR,1.000,1.000,1.000,0.778,9,7.0,0.0
NOCA,0.983,0.999,1.000,0.739,23,17.0,0.0
NOFL,0.981,1.000,0.909,1.000,10,10.0,1.0
OVEN,0.991,1.000,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.995,1.000,1.000,0.308,13,4.0,0.0
RWBL,0.961,0.997,1.000,0.649,37,24.0,0.0
SWSP,0.913,0.993,1.000,0.615,39,24.0,0.0
SWTH,0.950,0.999,0.833,1.000,10,10.0,2.0
TEWA,0.891,0.989,1.000,0.522,46,24.0,0.0
TRUS,1.000,1.000,1.000,0.500,8,4.0,0.0
VEER,0.950,1.000,1.000,0.500,4,2.0,0.0
WAVI,0.896,0.998,1.000,0.400,10,4.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.952,0.993,1.000,0.645,31,20.0,0.0
WIWA,1.000,1.000,0.818,1.000,9,9.0,2.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,1.000,1.000,1.000,1.000,4,4.0,0.0
WTSP,0.858,0.984,1.000,0.465,43,20.0,0.0
YEWA,0.894,0.997,1.000,0.375,16,6.0,0.0
