class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.946,0.998,0.968,0.938,32,30.0,1.0
ALFL,0.944,0.997,0.878,0.783,46,36.0,5.0
AMBI,0.668,0.914,1.000,0.444,9,4.0,0.0
AMCR,0.866,0.991,1.000,0.480,25,12.0,0.0
AMRO,0.947,0.999,1.000,0.583,12,7.0,0.0
BADO,0.994,1.000,1.000,0.864,22,19.0,0.0
BBWA,1.000,1.000,1.000,0.667,6,4.0,0.0
BCCH,0.857,0.997,0.818,0.900,10,9.0,2.0
BEKI,0.899,0.995,1.000,0.875,8,7.0,0.0
BLJA,0.959,0.996,1.000,0.750,20,15.0,0.0
BRCR,0.903,0.997,0.917,0.786,14,11.0,1.0
BTNW,0.976,0.999,1.000,0.842,19,16.0,0.0
CANG,0.917,0.999,0.625,0.833,6,5.0,3.0
CEDW,0.884,0.995,1.000,0.435,23,10.0,0.0
CHSP,0.952,0.994,1.000,0.556,54,30.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,1.000,6,6.0,0.0
COYE,0.987,1.000,0.955,0.955,22,21.0,1.0
DEJU,0.839,0.994,0.889,0.727,11,8.0,1.0
EAKI,0.968,1.000,0.857,0.857,7,6.0,1.0
EATO,0.976,1.000,1.000,0.727,11,8.0,0.0
EAWP,0.996,1.000,0.964,0.900,30,27.0,1.0
FISP,0.988,1.000,1.000,0.750,12,9.0,0.0
GCKI,0.928,0.997,1.000,0.583,12,7.0,0.0
GHOW,0.844,0.986,1.000,0.250,28,7.0,0.0
HETH,0.663,0.932,1.000,0.209,43,9.0,0.0
NHWR,1.000,1.000,1.000,1.000,9,9.0,0.0
NOCA,0.982,0.999,1.000,0.783,23,18.0,0.0
NOFL,0.977,1.000,0.769,1.000,10,10.0,3.0
OVEN,1.000,1.000,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,1.000,1.000,1.000,0.538,13,7.0,0.0
RWBL,0.976,0.998,0.967,0.784,37,29.0,1.0
SWSP,0.928,0.992,1.000,0.538,39,21.0,0.0
SWTH,0.882,0.999,0.800,0.800,10,8.0,2.0
TEWA,0.911,0.977,1.000,0.565,46,26.0,0.0
TRUS,1.000,1.000,1.000,0.750,8,6.0,0.0
VEER,1.000,1.000,1.000,1.000,4,4.0,0.0
WAVI,0.908,0.998,1.000,0.700,10,7.0,0.0
WETA,0.992,1.000,0.917,1.000,11,11.0,1.0
WISN,0.934,0.995,1.000,0.613,31,19.0,0.0
WIWA,0.948,0.999,0.615,0.889,9,8.0,5.0
WIWR,1.000,1.000,1.000,1.000,33,33.0,0.0
WOTH,1.000,1.000,1.000,1.000,4,4.0,0.0
WTSP,0.859,0.965,0.933,0.326,43,14.0,1.0
YEWA,0.934,0.998,1.000,0.562,16,9.0,0.0
