class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.952,0.999,0.939,0.969,32,31.0,2.0
ALFL,0.947,0.996,0.921,0.761,46,35.0,3.0
AMBI,0.593,0.794,1.000,0.222,9,2.0,0.0
AMCR,0.744,0.970,0.933,0.560,25,14.0,1.0
AMRO,0.885,0.997,0.875,0.583,12,7.0,1.0
BADO,0.973,0.999,0.950,0.864,22,19.0,1.0
BBWA,1.000,1.000,1.000,0.667,6,4.0,0.0
BCCH,0.797,0.998,0.818,0.900,10,9.0,2.0
BEKI,0.877,0.914,1.000,0.750,8,6.0,0.0
BLJA,0.946,0.998,0.929,0.650,20,13.0,1.0
BRCR,0.752,0.996,0.600,0.214,14,3.0,2.0
BTNW,0.985,1.000,1.000,0.842,19,16.0,0.0
CANG,0.668,0.998,0.571,0.667,6,4.0,3.0
CEDW,0.843,0.994,0.857,0.522,23,12.0,2.0
CHSP,0.921,0.991,0.941,0.593,54,32.0,2.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,0.833,6,5.0,0.0
COYE,0.976,0.999,0.952,0.909,22,20.0,1.0
DEJU,0.826,0.997,0.857,0.545,11,6.0,1.0
EAKI,0.968,1.000,0.857,0.857,7,6.0,1.0
EATO,0.986,1.000,1.000,0.545,11,6.0,0.0
EAWP,0.993,1.000,0.963,0.867,30,26.0,1.0
FISP,0.888,0.993,1.000,0.750,12,9.0,0.0
GCKI,0.987,1.000,1.000,0.583,12,7.0,0.0
GHOW,0.840,0.991,1.000,0.357,28,10.0,0.0
HETH,0.682,0.884,1.000,0.209,43,9.0,0.0
NHWR,0.989,1.000,1.000,0.889,9,8.0,0.0
NOCA,0.967,0.998,1.000,0.826,23,19.0,0.0
NOFL,0.736,0.998,0.818,0.900,10,9.0,2.0
OVEN,0.959,0.999,0.900,0.900,10,9.0,1.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,0.943,0.996,1.000,0.538,13,7.0,0.0
RWBL,0.969,0.998,1.000,0.784,37,29.0,0.0
SWSP,0.891,0.988,1.000,0.462,39,18.0,0.0
SWTH,0.945,0.999,0.769,1.000,10,10.0,3.0
TEWA,0.903,0.979,1.000,0.587,46,27.0,0.0
TRUS,1.000,1.000,1.000,0.875,8,7.0,0.0
VEER,0.917,0.999,1.000,0.250,4,1.0,0.0
WAVI,0.867,0.996,0.875,0.700,10,7.0,1.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.905,0.991,1.000,0.645,31,20.0,0.0
WIWA,0.972,1.000,0.800,0.889,9,8.0,2.0
WIWR,1.000,1.000,0.971,1.000,33,33.0,1.0
WOTH,1.000,1.000,1.000,1.000,4,4.0,0.0
WTSP,0.866,0.966,1.000,0.349,43,15.0,0.0
YEWA,0.976,0.999,1.000,0.500,16,8.0,0.0
