class,PR-AUC,ROC-AUC,precision,recall,annotated segments,TP segments,FP segments
AGOL,0.973,0.998,0.966,0.875,32,28.0,1.0
ALFL,0.993,0.999,1.000,0.761,46,35.0,0.0
AMBI,0.682,0.907,1.000,0.556,9,5.0,0.0
AMCR,0.828,0.988,1.000,0.480,25,12.0,0.0
AMRO,0.944,0.999,1.000,0.583,12,7.0,0.0
BADO,1.000,1.000,1.000,0.955,22,21.0,0.0
BBWA,1.000,1.000,1.000,0.500,6,3.0,0.0
BCCH,0.948,0.999,0.900,0.900,10,9.0,1.0
BEKI,0.878,0.953,1.000,0.875,8,7.0,0.0
BLJA,0.936,0.996,0.917,0.550,20,11.0,1.0
BRCR,0.914,0.998,0.909,0.714,14,10.0,1.0
BTNW,0.976,0.999,1.000,0.842,19,16.0,0.0
CANG,0.906,0.999,0.833,0.833,6,5.0,1.0
CEDW,0.920,0.996,1.000,0.522,23,12.0,0.0
CHSP,0.911,0.989,1.000,0.593,54,32.0,0.0
CMWA,1.000,1.000,1.000,1.000,6,6.0,0.0
CORA,1.000,1.000,1.000,1.000,6,6.0,0.0
COYE,0.978,0.999,0.950,0.864,22,19.0,1.0
DEJU,0.754,0.967,1.000,0.636,11,7.0,0.0
EAKI,1.000,1.000,1.000,0.857,7,6.0,0.0
EATO,0.951,0.999,1.000,0.364,11,4.0,0.0
EAWP,0.992,1.000,0.962,0.833,30,25.0,1.0
FISP,0.951,0.999,1.000,0.667,12,8.0,0.0
GCKI,0.939,0.996,1.000,0.500,12,6.0,0.0
GHOW,0.770,0.958,1.000,0.143,28,4.0,0.0
HETH,0.666,0.909,1.000,0.140,43,6.0,0.0
NHWR,1.000,1.000,1.000,1.000,9,9.0,0.0
NOCA,0.995,1.000,1.000,0.826,23,19.0,0.0
NOFL,0.983,1.000,0.900,0.900,10,9.0,1.0
OVEN,0.991,1.000,1.000,0.900,10,9.0,0.0
PISI,1.000,1.000,1.000,1.000,11,11.0,0.0
RBNU,1.000,1.000,1.000,0.538,13,7.0,0.0
RWBL,0.960,0.996,1.000,0.703,37,26.0,0.0
SWSP,0.879,0.983,1.000,0.359,39,14.0,0.0
SWTH,0.923,0.999,0.818,0.900,10,9.0,2.0
TEWA,0.924,0.990,1.000,0.500,46,23.0,0.0
TRUS,1.000,1.000,1.000,0.500,8,4.0,0.0
VEER,0.887,0.999,1.000,0.500,4,2.0,0.0
WAVI,0.961,0.999,1.000,0.600,10,6.0,0.0
WETA,1.000,1.000,1.000,1.000,11,11.0,0.0
WISN,0.944,0.994,1.000,0.613,31,19.0,0.0
WIWA,0.924,0.999,0.778,0.778,9,7.0,2.0
WIWR,1.000,1.000,1.000,0.939,33,31.0,0.0
WOTH,0.950,1.000,1.000,0.750,4,3.0,0.0
WTSP,0.870,0.981,1.000,0.372,43,16.0,0.0
YEWA,0.845,0.995,1.000,0.500,16,8.0,0.0
